date,value
6-6-2021,4668.848
7-6-2021,4683.068
8-6-2021,4654.983
9-6-2021,4690.771
10-6-2021,4778.961
11-6-2021,4571.728
12-6-2021,4779.594
13-6-2021,4403.724
14-6-2021,4667.792
15-6-2021,4751.07
16-6-2021,4816.839
17-6-2021,4755.528
18-6-2021,4839.827
19-6-2021,4932.742
20-6-2021,5079.021
21-6-2021,5285.88
22-6-2021,5358.96
23-6-2021,5292.34
24-6-2021,5140.522
25-6-2021,5056.622
26-6-2021,5014.385
27-6-2021,4842.434
28-6-2021,4639.018
29-6-2021,4890.59
30-6-2021,5202.693
1-7-2021,5236.413
2-7-2021,4946.91
3-7-2021,5232.047
4-7-2021,5002.062
5-7-2021,4674.976
6-7-2021,4533.044
7-7-2021,4979.855
8-7-2021,5098.699
9-7-2021,4765.505
10-7-2021,4912.38
11-7-2021,4994.366
12-7-2021,5074.486
13-7-2021,5052.666
14-7-2021,5187.898
15-7-2021,5125.541
16-7-2021,5105.639
17-7-2021,4978.944
18-7-2021,4878.296
19-7-2021,4756.682
20-7-2021,4661.837
21-7-2021,4722.179
22-7-2021,5016.992
23-7-2021,5153.211
24-7-2021,4828.764
25-7-2021,4843.92
26-7-2021,4799.14
27-7-2021,4639.535
28-7-2021,4793.819
29-7-2021,4834.824
30-7-2021,4857.484
31-7-2021,4885.839
1-8-2021,5189.913
2-8-2021,5088.524
3-8-2021,5002.904
4-8-2021,4938.903
5-8-2021,5176.241
6-8-2021,5276.463
7-8-2021,5234.266
8-8-2021,5246.806
9-8-2021,5157.13
10-8-2021,5074.013
11-8-2021,5232.491
12-8-2021,5145.747
13-8-2021,5259.318
14-8-2021,5270.719
15-8-2021,5352.339
16-8-2021,5432.723
17-8-2021,5687.253
18-8-2021,5350.326
19-8-2021,5371.911
20-8-2021,5758.324
21-8-2021,5570.549
22-8-2021,5433.799
23-8-2021,5720.343
24-8-2021,5549.664
25-8-2021,5856.768
26-8-2021,5761.257
27-8-2021,5711.502
28-8-2021,5296.795
29-8-2021,5119.554
30-8-2021,5090.885
31-8-2021,5367.911
1-9-2021,5282.757
2-9-2021,5272.199
3-9-2021,5183.176
4-9-2021,5578.994
5-9-2021,5007.755
6-9-2021,5170.922
7-9-2021,5128.564
8-9-2021,5127.125
9-9-2021,5074.34
10-9-2021,5230.884
11-9-2021,5296.812
12-9-2021,5378.543
13-9-2021,5698.721
14-9-2021,5369.207
15-9-2021,5296.15
16-9-2021,5283.5
17-9-2021,4936.738
18-9-2021,5173.542
19-9-2021,5011.43
20-9-2021,5319.196
21-9-2021,5268.342
22-9-2021,5105.629
23-9-2021,5069.023
24-9-2021,5464.875
25-9-2021,5398.496
26-9-2021,5310.082
27-9-2021,5263.995
28-9-2021,5091.055
29-9-2021,5365.673
30-9-2021,5470.525
1-10-2021,5246.852
2-10-2021,5244.692
3-10-2021,5080.682
4-10-2021,5032.333
5-10-2021,5153.457
6-10-2021,5286.492
7-10-2021,5290.518
8-10-2021,5193.508
9-10-2021,4961.879
10-10-2021,4253.641
11-10-2021,4241.333
12-10-2021,4419.412
13-10-2021,4175.928
14-10-2021,4400.022
15-10-2021,4462.691
16-10-2021,4567.584
17-10-2021,4576.319
18-10-2021,4668.655
19-10-2021,4750.951
20-10-2021,4982.713
21-10-2021,5120.104
22-10-2021,4735.055
23-10-2021,4657.137
24-10-2021,4494.532
25-10-2021,4633.624
26-10-2021,4555.017
27-10-2021,4706.889
28-10-2021,4663.656
29-10-2021,4525.805
30-10-2021,4562.806
31-10-2021,4579.249
1-11-2021,4644.997
2-11-2021,4741.057
3-11-2021,4738.993
4-11-2021,4573.754
5-11-2021,4676.596
6-11-2021,4419.564
7-11-2021,4458.461
8-11-2021,4570.906
9-11-2021,4649.567
10-11-2021,4691.099
11-11-2021,4712.926
12-11-2021,4733.055
13-11-2021,4530.185
14-11-2021,4412.98
15-11-2021,4233.159
16-11-2021,4521.956
17-11-2021,4514.209
18-11-2021,4587.123
19-11-2021,4644.021
20-11-2021,4394.979
21-11-2021,4247.62
22-11-2021,4537.782
23-11-2021,4475.189
24-11-2021,4503.74
25-11-2021,4591.194
26-11-2021,4430.913
27-11-2021,4533.924
28-11-2021,4660.472
29-11-2021,4559.991
30-11-2021,4584.737
1-12-2021,4527.2
2-12-2021,4624.101
3-12-2021,4759.665
4-12-2021,4322.957
5-12-2021,4540.42
6-12-2021,4393.208
7-12-2021,4184.456
8-12-2021,4347.394
9-12-2021,4438.575
10-12-2021,4469.059
11-12-2021,4004.202
12-12-2021,4060.067
13-12-2021,3905.44
14-12-2021,3795.575
15-12-2021,3829.787
16-12-2021,3899.044
17-12-2021,3945.371
18-12-2021,3968.321
19-12-2021,3561.107
20-12-2021,3648.754
21-12-2021,3702.375
22-12-2021,3681.189
23-12-2021,3706.327
24-12-2021,3702.329
25-12-2021,3747.096
26-12-2021,4105.522
27-12-2021,4081.496
28-12-2021,3962.95
29-12-2021,4027.315
30-12-2021,4093.019
31-12-2021,4051.691
1-1-2022,3961.454
2-1-2022,4039.532
3-1-2022,3976.624
4-1-2022,3961.787
5-1-2022,3970.697
6-1-2022,4160.607
7-1-2022,4118.374
8-1-2022,4267.026
9-1-2022,4344.131
10-1-2022,4203.982
11-1-2022,4222.133
12-1-2022,4199.069
13-1-2022,4023.118
14-1-2022,3971.31
15-1-2022,3893.828
16-1-2022,3738.42
17-1-2022,3784.826
18-1-2022,3910.113
19-1-2022,4074.636
20-1-2022,3974.686
21-1-2022,3672.423
22-1-2022,3585.679
23-1-2022,3756.81
24-1-2022,3687.302
25-1-2022,3550.051
